2026-02-13 10:28:28,356 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90)
2026-02-13 17:07:02,698 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 116.6347001958918}
2026-02-13 17:07:02,715 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.008269, alpha=0.0000, beta=0.9504
2026-02-13 17:07:03,028 | crypto_trader.models.ml_model | INFO | Top 5 features: [('rsi_28', 0.09309770911931992), ('price_rel_ma_50', 0.08550836145877838), ('volatility_50', 0.0810731053352356), ('price_rel_ma_20', 0.07990042865276337), ('return_20', 0.07437404245138168)]
2026-02-13 17:07:03,029 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:07:03,068 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:07:03,114 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.5000, cointegrated=True, p=0.0493
2026-02-13 17:07:03,114 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 116.6347001958918}
2026-02-13 17:07:03,115 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:07:03,125 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.008269, alpha=0.0000, beta=0.9504
2026-02-13 17:07:03,126 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:07:03,380 | crypto_trader.models.ml_model | INFO | Top 5 features: [('rsi_28', 0.09309770911931992), ('price_rel_ma_50', 0.08550836145877838), ('volatility_50', 0.0810731053352356), ('price_rel_ma_20', 0.07990042865276337), ('return_20', 0.07437404245138168)]
2026-02-13 17:07:03,381 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:07:03,381 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:07:18,771 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:07:18,771 | crypto_trader.scripts.run_paper | INFO | Paper cycle 1 started (2026-02-13T23:07:18.771690)
2026-02-13 17:07:18,772 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:18,800 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:18,863 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:18,864 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:07:18,868 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:07:18,868 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:18,870 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:18,870 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:07:18,873 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:07:18,874 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:18,875 | crypto_trader.data.fetcher | WARNING | No data fetched for SOL/USDT, generating synthetic
2026-02-13 17:07:18,876 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:07:18,902 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:18,903 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:07:18,907 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:07:18,907 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:18,908 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:18,909 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:07:18,912 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:07:18,913 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:18,914 | crypto_trader.data.fetcher | WARNING | No data fetched for SOL/USDT, generating synthetic
2026-02-13 17:07:18,914 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:07:18,973 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=-1.1948, cointegrated=False, p=0.7312
2026-02-13 17:07:18,974 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 551.1326598414319}
2026-02-13 17:07:18,974 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:07:18,993 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.069825, alpha=0.0000, beta=0.5962
2026-02-13 17:07:18,993 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:07:19,002 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.0643, cointegrated=False, p=0.3551
2026-02-13 17:07:19,002 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 219.53856855582234}
2026-02-13 17:07:19,015 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.162874, alpha=0.0000, beta=0.0000
2026-02-13 17:07:19,388 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.10492304712533951), ('price_rel_ma_10', 0.09213224798440933), ('volatility_50', 0.08968739956617355), ('return_10', 0.07805167138576508), ('rsi_28', 0.0734599232673645)]
2026-02-13 17:07:19,389 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:07:19,390 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:07:19,420 | crypto_trader.models.ml_model | INFO | Top 5 features: [('volatility_20', 0.10312868654727936), ('rsi_28', 0.0885644406080246), ('volatility_50', 0.08214689791202545), ('price_rel_ma_50', 0.07868198305368423), ('price_rel_ma_20', 0.07240269333124161)]
2026-02-13 17:07:19,420 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:07:19,442 | crypto_trader.scripts.run_paper | INFO | Cycle 1 complete | signals=0 decisions=0 portfolio=100000.00 realized_pnl=0.00
2026-02-13 17:07:19,459 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:07:19,506 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.0643, cointegrated=False, p=0.3551
2026-02-13 17:07:19,507 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 219.53856855582234}
2026-02-13 17:07:19,507 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:07:19,513 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.162874, alpha=0.0000, beta=0.0000
2026-02-13 17:07:19,513 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:07:19,753 | crypto_trader.models.ml_model | INFO | Top 5 features: [('volatility_20', 0.10312868654727936), ('rsi_28', 0.0885644406080246), ('volatility_50', 0.08214689791202545), ('price_rel_ma_50', 0.07868198305368423), ('price_rel_ma_20', 0.07240269333124161)]
2026-02-13 17:07:19,753 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:07:19,754 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:07:47,708 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=1, source=exchange)
2026-02-13 17:07:47,710 | crypto_trader.data.fetcher | WARNING | Exchange fetch failed: ccxt is required for ExchangeConnector. Install dependencies from requirements.txt.. Falling back to yfinance.
2026-02-13 17:07:47,922 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:47,923 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:07:47,924 | crypto_trader.data.fetcher | INFO | Fetched 24 rows for BTC/USDT
2026-02-13 17:07:51,861 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:51,961 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:51,961 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:07:51,965 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:07:51,966 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:51,967 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: Failed to perform, curl: (6) Could not resolve host: guce.yahoo.com. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.. Generating synthetic data.
2026-02-13 17:07:51,968 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:07:51,971 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:07:51,971 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:07:51,972 | crypto_trader.data.fetcher | WARNING | No data fetched for SOL/USDT, generating synthetic
2026-02-13 17:07:51,973 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:07:52,054 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.0318, cointegrated=False, p=0.6719
2026-02-13 17:07:52,054 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 295.0552300796704}
2026-02-13 17:07:52,068 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.157481, alpha=0.0205, beta=0.0000
2026-02-13 17:07:52,370 | crypto_trader.models.ml_model | INFO | Top 5 features: [('rsi_28', 0.09414833039045334), ('volatility_50', 0.0892995223402977), ('price_rel_ma_50', 0.08388806134462357), ('price_rel_ma_20', 0.08150669187307358), ('rsi_14', 0.07907033711671829)]
2026-02-13 17:07:52,370 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:07:52,409 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:07:52,455 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.0318, cointegrated=False, p=0.6719
2026-02-13 17:07:52,456 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 295.0552300796704}
2026-02-13 17:07:52,456 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:07:52,462 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.157481, alpha=0.0205, beta=0.0000
2026-02-13 17:07:52,463 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:07:52,703 | crypto_trader.models.ml_model | INFO | Top 5 features: [('rsi_28', 0.09414833039045334), ('volatility_50', 0.0892995223402977), ('price_rel_ma_50', 0.08388806134462357), ('price_rel_ma_20', 0.08150669187307358), ('rsi_14', 0.07907033711671829)]
2026-02-13 17:07:52,703 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:07:52,704 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:10:38,894 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:10:39,304 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 17:10:39,304 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 17:10:39,311 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 17:10:39,311 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:10:39,570 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 17:10:39,570 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 17:10:39,577 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 17:10:39,577 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:10:39,763 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 17:10:39,763 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 17:10:39,769 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for SOL/USDT
2026-02-13 17:10:39,885 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=1.0143, cointegrated=False, p=0.3526
2026-02-13 17:10:39,885 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 223.7455365338698}
2026-02-13 17:10:39,900 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.164926, alpha=0.0000, beta=0.0000
2026-02-13 17:10:40,206 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.08590896427631378), ('return_20', 0.08501973003149033), ('volatility_50', 0.08016747236251831), ('volatility_20', 0.07777054607868195), ('rsi_28', 0.0741114690899849)]
2026-02-13 17:10:40,206 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:10:40,244 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:10:40,290 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=1.0143, cointegrated=False, p=0.3526
2026-02-13 17:10:40,290 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 223.7455365338698}
2026-02-13 17:10:40,290 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:10:40,295 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.164926, alpha=0.0000, beta=0.0000
2026-02-13 17:10:40,295 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:10:40,534 | crypto_trader.models.ml_model | INFO | Top 5 features: [('price_rel_ma_50', 0.08590896427631378), ('return_20', 0.08501973003149033), ('volatility_50', 0.08016747236251831), ('volatility_20', 0.07777054607868195), ('rsi_28', 0.0741114690899849)]
2026-02-13 17:10:40,534 | crypto_trader.models.ml_model | INFO | ML model trained on 2098 samples with 15 features
2026-02-13 17:10:40,534 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:20:35,073 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:20:37,310 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for BTC/USDT
2026-02-13 17:20:37,342 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:20:37,607 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for ETH/USDT
2026-02-13 17:20:37,608 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:20:37,805 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for SOL/USDT
2026-02-13 17:21:01,159 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:21:01,601 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for BTC/USDT
2026-02-13 17:21:01,601 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:21:01,734 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for ETH/USDT
2026-02-13 17:21:01,734 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:21:02,031 | crypto_trader.data.fetcher | INFO | Fetched 2005 rows for SOL/USDT
2026-02-13 17:21:02,149 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6405, cointegrated=True, p=0.0003
2026-02-13 17:21:02,149 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 44.48648894915625}
2026-02-13 17:21:02,166 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.040912, alpha=0.3696, beta=0.5500
2026-02-13 17:21:02,508 | crypto_trader.models.ml_model | INFO | Top 5 features: [('hl_range', 0.12796896696090698), ('volatility_50', 0.09099055826663971), ('price_rel_ma_50', 0.07744399458169937), ('volatility_20', 0.07717911154031754), ('rsi_28', 0.07348978519439697)]
2026-02-13 17:21:02,509 | crypto_trader.models.ml_model | INFO | ML model trained on 2078 samples with 15 features
2026-02-13 17:21:02,547 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:21:02,592 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6405, cointegrated=True, p=0.0003
2026-02-13 17:21:02,593 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 44.48648894915625}
2026-02-13 17:21:02,593 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:21:02,599 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.040912, alpha=0.3696, beta=0.5500
2026-02-13 17:21:02,599 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:21:02,869 | crypto_trader.models.ml_model | INFO | Top 5 features: [('hl_range', 0.12796896696090698), ('volatility_50', 0.09099055826663971), ('price_rel_ma_50', 0.07744399458169937), ('volatility_20', 0.07717911154031754), ('rsi_28', 0.07348978519439697)]
2026-02-13 17:21:02,869 | crypto_trader.models.ml_model | INFO | ML model trained on 2078 samples with 15 features
2026-02-13 17:21:02,869 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:22:38,349 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:22:38,785 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for BTC/USDT
2026-02-13 17:22:38,785 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:22:38,919 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for ETH/USDT
2026-02-13 17:22:38,919 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:22:39,024 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for SOL/USDT
2026-02-13 17:22:39,145 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6405, cointegrated=True, p=0.0003
2026-02-13 17:22:39,145 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 44.48648894915625}
2026-02-13 17:22:39,162 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.040912, alpha=0.3696, beta=0.5500
2026-02-13 17:22:39,505 | crypto_trader.models.ml_model | INFO | Top 5 features: [('hl_range', 0.12796896696090698), ('volatility_50', 0.09099055826663971), ('price_rel_ma_50', 0.07744399458169937), ('volatility_20', 0.07717911154031754), ('rsi_28', 0.07348978519439697)]
2026-02-13 17:22:39,505 | crypto_trader.models.ml_model | INFO | ML model trained on 2078 samples with 15 features
2026-02-13 17:22:39,544 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:22:39,590 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6405, cointegrated=True, p=0.0003
2026-02-13 17:22:39,590 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 44.48648894915625}
2026-02-13 17:22:39,590 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:22:39,596 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.040912, alpha=0.3696, beta=0.5500
2026-02-13 17:22:39,596 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:22:39,867 | crypto_trader.models.ml_model | INFO | Top 5 features: [('hl_range', 0.12796896696090698), ('volatility_50', 0.09099055826663971), ('price_rel_ma_50', 0.07744399458169937), ('volatility_20', 0.07717911154031754), ('rsi_28', 0.07348978519439697)]
2026-02-13 17:22:39,867 | crypto_trader.models.ml_model | INFO | ML model trained on 2078 samples with 15 features
2026-02-13 17:22:39,868 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
2026-02-13 17:24:59,084 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:24:59,429 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for BTC/USDT
2026-02-13 17:24:59,430 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:24:59,542 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for ETH/USDT
2026-02-13 17:24:59,542 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90, source=yfinance)
2026-02-13 17:24:59,673 | crypto_trader.data.fetcher | INFO | Fetched 2140 rows for SOL/USDT
2026-02-13 17:24:59,768 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6405, cointegrated=True, p=0.0003
2026-02-13 17:24:59,769 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 44.48648894915625}
2026-02-13 17:24:59,782 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.040912, alpha=0.3696, beta=0.5500
2026-02-13 17:25:00,112 | crypto_trader.models.ml_model | INFO | Top 5 features: [('hl_range', 0.12796896696090698), ('volatility_50', 0.09099055826663971), ('price_rel_ma_50', 0.07744399458169937), ('volatility_20', 0.07717911154031754), ('rsi_28', 0.07348978519439697)]
2026-02-13 17:25:00,112 | crypto_trader.models.ml_model | INFO | ML model trained on 2078 samples with 15 features
2026-02-13 17:25:00,151 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
2026-02-13 17:25:00,196 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=0.6405, cointegrated=True, p=0.0003
2026-02-13 17:25:00,196 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 44.48648894915625}
2026-02-13 17:25:00,196 | crypto_trader.models.ensemble | INFO | Sub-model 'mean_reversion' fitted successfully
2026-02-13 17:25:00,203 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.040912, alpha=0.3696, beta=0.5500
2026-02-13 17:25:00,203 | crypto_trader.models.ensemble | INFO | Sub-model 'momentum' fitted successfully
2026-02-13 17:25:00,472 | crypto_trader.models.ml_model | INFO | Top 5 features: [('hl_range', 0.12796896696090698), ('volatility_50', 0.09099055826663971), ('price_rel_ma_50', 0.07744399458169937), ('volatility_20', 0.07717911154031754), ('rsi_28', 0.07348978519439697)]
2026-02-13 17:25:00,472 | crypto_trader.models.ml_model | INFO | ML model trained on 2078 samples with 15 features
2026-02-13 17:25:00,472 | crypto_trader.models.ensemble | INFO | Sub-model 'ml_model' fitted successfully
